ride_date,num_rides,avg_duration_min,day,day_of_week,month,obs_date,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in
2018-02-18,21538,17.153192806512514,18,Sunday,2,2018-02-18,37.6,45.0,30.0,8.8,0.62
2018-05-19,18026,15.37086893006398,19,Saturday,5,2018-05-19,54.4,66.9,50.0,10.7,0.2
2018-04-06,35624,13.139786847817948,6,Friday,4,2018-04-06,44.8,62.1,35.1,10.7,0.0
2018-04-03,25881,10.721902811586364,3,Tuesday,4,2018-04-03,40.8,44.1,32.0,7.0,0.15
2018-02-21,53115,30.36244783331763,21,Wednesday,2,2018-02-21,61.8,79.0,46.9,7.7,0.0
2018-02-22,27010,11.093625200543007,22,Thursday,2,2018-02-22,50.6,79.0,37.9,10.1,0.02
2018-01-11,33961,12.06351403080004,11,Thursday,1,2018-01-11,40.1,46.9,26.1,4.8,0.0
2018-04-17,44689,11.757871437415622,17,Tuesday,4,2018-04-17,46.2,61.0,39.9,13.8,1.62
2018-01-24,36078,11.514989744442598,24,Wednesday,1,2018-01-24,42.9,60.1,34.0,14.2,0.28
2018-05-24,74810,19.328324199082115,24,Thursday,5,2018-05-24,74.5,86.0,57.0,7.6,0.21
2018-01-20,28507,14.608504928614028,20,Saturday,1,2018-01-20,43.4,54.0,26.1,11.0,0.0
2018-04-30,41075,13.162267397037938,30,Monday,4,2018-04-30,49.0,57.9,44.1,15.8,0.15
2018-01-21,27908,14.16123154650996,21,Sunday,1,2018-01-21,46.1,54.0,37.0,5.3,0.0
2018-05-26,51597,32.988507406761364,26,Saturday,5,2018-05-26,82.3,91.9,68.0,9.3,0.0
2018-04-21,63599,23.503453146537943,21,Saturday,4,2018-04-21,48.8,62.1,37.9,10.4,0.0
2018-05-09,78458,18.083681502629865,9,Wednesday,5,2018-05-09,63.5,73.9,54.0,4.8,0.0
2018-04-10,43051,11.534113803008829,10,Tuesday,4,2018-04-10,43.2,50.0,33.1,7.9,0.0
2018-03-16,34921,12.061142292603304,16,Friday,3,2018-03-16,37.6,48.0,34.0,16.7,0.0
2018-02-28,50709,15.028157723481035,28,Wednesday,2,2018-02-28,49.5,62.1,39.9,9.2,0.0
2018-01-27,34351,22.878358708625665,27,Saturday,1,2018-01-27,42.1,57.0,28.0,7.8,0.0
2018-03-01,45564,13.900288970824915,1,Thursday,3,2018-03-01,54.5,62.1,42.1,6.0,0.0
2018-02-26,42570,12.379549369665646,26,Monday,2,2018-02-26,46.1,52.0,39.9,6.4,0.22
2018-01-02,18818,11.343925142593973,2,Tuesday,1,2018-01-02,18.4,26.1,8.1,12.3,0.0
2018-05-08,74313,18.978155908118364,8,Tuesday,5,2018-05-08,61.8,75.0,54.0,5.9,0.0
2013-12-02,24576,12.3826666937934,2,Monday,12,2013-12-02,44.2,48.9,37.0,4.5,0.0
2013-08-16,35991,16.38904911413039,16,Friday,8,2013-08-16,72.6,81.0,63.0,3.7,0.0
2013-09-11,35812,14.02912990059198,11,Wednesday,9,2013-09-11,83.6,93.9,69.1,7.5,0.0
2013-07-15,28069,15.31828232807249,15,Monday,7,2013-07-15,87.2,93.9,72.0,7.8,0.0
2013-07-17,30550,14.669449536279323,17,Wednesday,7,2013-07-17,87.4,97.0,78.1,4.0,0.0
2013-08-23,33503,15.743948303137032,23,Friday,8,2013-08-23,76.2,81.0,72.0,9.0,0.24
2013-12-14,3701,12.055358912005763,14,Saturday,12,2013-12-14,28.6,35.1,24.1,12.0,0.0
2013-10-30,35069,12.160374784947766,30,Wednesday,10,2013-10-30,52.9,60.1,44.1,4.5,0.0
2013-12-08,10090,12.172482656095148,8,Sunday,12,2013-12-08,32.1,37.9,28.4,8.7,0.13
2013-09-23,35152,13.871636037778789,23,Monday,9,2013-09-23,58.5,68.0,52.0,10.6,0.53
2013-07-09,26641,16.098854522477883,9,Tuesday,7,2013-07-09,82.6,91.0,75.0,6.0,0.0
2013-10-17,36888,13.38731430275428,17,Thursday,10,2013-10-17,64.7,73.0,57.0,6.7,0.0
2013-10-09,36969,12.841222375503802,9,Wednesday,10,2013-10-09,59.7,66.0,54.0,12.3,0.0
2013-09-20,39382,14.81144685389264,20,Friday,9,2013-09-20,68.1,78.1,57.0,5.8,0.0
2013-07-16,29842,15.128550923753991,16,Tuesday,7,2013-07-16,86.5,93.9,79.0,7.9,0.0
2013-10-14,33018,13.908640741413771,14,Monday,10,2013-10-14,58.0,64.9,53.1,6.6,0.0
2013-10-01,40575,13.706243992606286,1,Tuesday,10,2013-10-01,68.9,81.0,57.9,5.5,0.0
2013-12-28,12022,16.256094382520935,28,Saturday,12,2013-12-28,42.4,55.0,32.0,9.3,0.0
2013-11-06,34826,13.005698328834775,6,Wednesday,11,2013-11-06,53.2,61.0,42.1,5.9,0.0
2013-08-17,37285,20.104246122211787,17,Saturday,8,2013-08-17,73.6,81.0,66.9,5.2,0.0
2013-07-27,32470,18.91439841905348,27,Saturday,7,2013-07-27,76.9,84.0,64.9,8.5,0.0
2013-11-21,28752,11.772228598590244,21,Thursday,11,2013-11-21,41.6,52.0,32.0,6.4,0.0
2013-07-22,25979,14.700189255424249,22,Monday,7,2013-07-22,77.1,87.1,75.0,8.3,0.0
2013-12-17,7863,12.22394548306414,17,Tuesday,12,2013-12-17,27.2,34.0,24.1,7.3,0.0
2013-09-03,32411,14.437786553947737,3,Tuesday,9,2013-09-03,76.2,82.0,72.0,6.7,0.99
2013-07-12,19006,15.635127503595356,12,Friday,7,2013-07-12,75.4,86.0,72.0,9.1,0.0
2013-11-17,17995,13.467926275817357,17,Sunday,11,2013-11-17,52.6,60.8,48.2,4.5,0.02
2013-08-26,29979,15.47495413456086,26,Monday,8,2013-08-26,75.3,84.0,66.9,9.1,0.0
2013-12-09,14824,10.718746627091202,9,Monday,12,2013-12-09,34.5,39.2,28.9,10.9,0.19
2013-10-13,28832,15.950881543655202,13,Sunday,10,2013-10-13,60.9,72.0,57.0,15.0,0.0
2013-10-02,41383,13.913752023777878,2,Wednesday,10,2013-10-02,73.9,84.0,62.1,6.0,0.0
2013-09-28,34931,17.024874753084653,28,Saturday,9,2013-09-28,64.4,73.0,57.0,7.3,0.0
2013-07-18,28869,14.380492338956431,18,Thursday,7,2013-07-18,89.3,100.0,78.1,6.3,0.0
2013-09-13,36501,14.655901208186076,13,Friday,9,2013-09-13,71.3,86.0,68.0,9.4,1.3
2013-08-28,28185,14.159055644255211,28,Wednesday,8,2013-08-28,78.0,86.0,73.0,3.2,0.1
2013-10-05,34181,16.759140068069005,5,Saturday,10,2013-10-05,68.3,86.0,64.0,6.7,0.03
2013-08-19,33127,14.89228172387076,19,Monday,8,2013-08-19,73.5,80.1,68.0,5.5,0.0
2013-11-29,10127,13.154390902208617,29,Friday,11,2013-11-29,34.1,39.0,30.9,7.2,0.0
2013-11-13,23633,11.12514986106997,13,Wednesday,11,2013-11-13,34.0,52.0,30.0,13.4,0.01
2013-09-19,39200,14.114456207482997,19,Thursday,9,2013-09-19,65.0,77.0,55.0,5.4,0.0
2013-07-13,26119,18.61566101305563,13,Saturday,7,2013-07-13,71.4,78.1,68.0,10.5,0.23
2013-08-02,35792,16.09049647966026,2,Friday,8,2013-08-02,75.5,86.0,69.1,7.3,0.5
2013-07-14,29287,19.36267115102264,14,Sunday,7,2013-07-14,80.2,93.9,69.1,6.0,0.01
2013-07-04,22326,21.2184739765296,4,Thursday,7,2013-07-04,82.0,91.0,73.9,8.6,0.96
2013-11-12,19925,11.081814303638648,12,Tuesday,11,2013-11-12,43.9,53.1,34.0,13.4,0.02
2013-10-19,29548,15.613899417896302,19,Saturday,10,2013-10-19,59.4,69.1,54.0,5.9,0.0
2013-08-18,27612,16.943679680332224,18,Sunday,8,2013-08-18,72.5,81.0,68.0,5.2,0.0
2013-08-30,32318,15.444152897250245,30,Friday,8,2013-08-30,75.4,86.0,69.1,7.4,0.0
2013-08-04,35253,19.719960003403965,4,Sunday,8,2013-08-04,74.6,81.0,70.0,8.7,0.01
2013-08-05,36776,16.11843684286854,5,Monday,8,2013-08-05,71.5,81.0,64.0,9.4,0.0
2013-09-27,37412,14.230190402366445,27,Friday,9,2013-09-27,61.5,69.1,57.0,6.4,0.0
2013-07-07,20477,18.63832348488548,7,Sunday,7,2013-07-07,88.8,98.1,79.0,8.8,0.0
2013-12-27,11720,12.43603384527872,27,Friday,12,2013-12-27,35.6,39.9,30.0,10.3,0.0
2013-08-11,33060,19.430590340794524,11,Sunday,8,2013-08-11,74.8,84.0,66.9,5.7,0.0
2013-07-23,32376,15.737208117123796,23,Tuesday,7,2013-07-23,80.0,91.0,75.0,7.4,0.58
2013-10-16,36911,13.337352460422816,16,Wednesday,10,2013-10-16,60.1,70.0,55.9,5.6,0.0
2013-10-18,38122,13.878873091653112,18,Friday,10,2013-10-18,64.2,73.0,57.9,11.5,0.01
2013-09-08,33196,17.081960175924806,8,Sunday,9,2013-09-08,73.9,80.1,61.0,8.7,0.0
2013-09-24,38417,13.784679525557264,24,Tuesday,9,2013-09-24,59.1,73.0,50.0,8.0,0.0
2013-09-18,37957,13.932727384496491,18,Wednesday,9,2013-09-18,61.8,71.1,48.9,5.0,0.0
2013-10-04,40195,14.673060082099765,4,Friday,10,2013-10-04,74.0,86.0,64.9,4.9,0.0
2013-10-26,24569,14.574459006607244,26,Saturday,10,2013-10-26,49.5,55.9,42.1,10.1,0.0
